# 图层映射配置文件
# 格式：源图层名称,源图层代码,标准成果图层,实际数据SHP,几何类型,备注
# 此文件由"综合成果与元数据名称对应表.xlsx"转换而来
# 可在插件UI中通过"图层映射配置"按钮可视化编辑
行政界线,BOUL,省界,,线,
行政界线,BOUL,未定省界,,线,
行政界线,BOUL,市界,,线,
行政界线,BOUL,县界,,线,
省级行政区划面,BOUA2,邻区普染色,,面,
省级行政区划面,BOUA2,省级行政区划面普色,,面,
市级行政区划面,BOUA4,市级行政区划面普色,,面,
县级行政区划面,BOUA5,县级行政区划面普色,,面,
行政界线,BOUL,晕带,,面,根据制图主区行政去画面生成
省级行政区划面,BOUA2,省级表面注记,,面,
省级行政区划面,BOUA2,省级表面注记_飞地及小面,,面,
市级行政区划面,BOUA4,市级表面注记,,面,
市级行政区划面,BOUA4,市级表面注记_飞地及小面,,面,
县级行政区划面,BOUA5,县级表面注记,,面,
县级行政区划面,BOUA5,县级表面注记_飞地及小面,,面,
县级行政区划面,BOUA5,乡镇级表面注记,,面,
县级行政区划面,BOUA5,乡镇级表面注记_飞地及小面,,面,
乡镇级以上行政点位,BOUP6,省级驻地,,点,
乡镇级以上行政点位,BOUP6,市级驻地,,点,
乡镇级以上行政点位,BOUP6,县级驻地,,点,
乡镇级以上行政点位,BOUP6,乡镇级驻地,,点,
行政村,BOUP7,行政村,,点,
行政村,BOUP7,0行政村_选取,,点,
自然村,BOUP8,自然村,,点,
街区面,RESA,街区面,,面,
公路,LRDL,高速公路,,线,
公路,LRDL,在建高速公路,,线,
公路,LRDL,国道,,线,
公路,LRDL,省道,,线,
公路,LRDL,县道,,线,
公路,LRDL,乡道（专用道）,,线,
村道,LVLL,村道,,线,
公路,LRDL,高速代码,,点,
公路,LRDL,国道代码,,点,
公路,LRDL,省道代码,,点,
公路,LRDL,县道代码,,点,
公路,LRDL,高速_名称,,点,
高速出入口,LRDP,高速出入口,,点,
隧道,LFCL,汽车隧道口,,点,
铁路,LRRL,普通铁路,,线,
铁路,LRRL,在建普通铁路,,线,
铁路,LRRL,高速铁路,,线,
铁路,LRRL,铁路休止符,,点,
火车站,LRRP,普通车站,,点,
火车站,LRRP,高铁车站,,点,
隧道,LFCL,火车隧道口,,点,
隧道,LFCL,隧道,,点,
河流,HYDL_HL,一级河流,,线,
河流,HYDL_HL,二级河流,,线,
河流,HYDL_HL,三级河流,,线,
河流,HYDL_HL,四级河流,,线,
河流,HYDL_HL,五级河流,,线,
河流,HYDL_HL,六级河流,,线,
河流,HYDL_HL,等外河流,,线,
河流,HYDL_HL,一级河流_名称,,点,
河流,HYDL_HL,二级河流_名称,,点,
河流,HYDL_HL,三级河流_名称,,点,
河流,HYDL_HL,四级河流_名称,,点,
河流,HYDL_HL,五级河流_名称,,点,
河流,HYDL_HL,六级河流_名称,,点,
河流,HYDL_HL,等外河流_名称,,点,
水渠,HYDL_Qu,总干渠,,线,
水渠,HYDL_Qu,干渠,,线,
水渠,HYDL_Qu,支渠,,线,
水渠,HYDL_Qu,总干渠_名称,,点,
水渠,HYDL_Qu,干渠_名称,,点,
水渠,HYDL_Qu,支渠_名称,,点,
水渠,HYDL_Qu,水渠_方向点,,点,
湖泊水库,HYDA_HPSK,湖泊水库,,面,
湖泊水库,HYDA_HPSK,湖泊水库_名称,,点,
湖泊水库,HYDA_HPSK,湖泊水库_点,,点,
河流面,HYDA_GSJ,河流面,,面,
山脉,MRL,二级山脉_名称,,点,
山脉,MRL,三级山脉_名称,,点,
山峰,MPP,山峰,,点,
井泉,HYDP,井,,点,
井泉,HYDP,泉,,点,
地理名称,AANP,地理名称,,点,
地理名称,AANP,地沟名,,点,为ANNP与附近干涸河关联所得
景点景区,A_LvYouJingQu,A级景区,,点,
景点景区,A_LvYouJingQu,0A级景区_选取,,点,
风景名胜区,BERP6,公园,,面,
农林牧,BERP3,农林牧,,面,
文物古迹,WenWuGuJi,文物古迹,,点,
文物古迹,WenWuGuJi,世界级古遗址,,点,
国家公园,GuoJiaGongYuan,国家公园界,,面,
国家公园,GuoJiaGongYuan,国家公园注记,,点,
长城,GWL,长城,,线,
飞机场,AIRP,飞机场,,点,
